Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Antilophia galeata,,,species,,Animalia
Dacnis cayana,,,species,,Animalia
Elaenia cristata,,,species,,Animalia
Ramphastos vitellinus,,,species,,
Turdus leucomelas,,,species,,Animalia
Bungalotis erythus,,,species,,Animalia
Hemithraupis guira,,,species,,Animalia
Eucometis penicillata,,,species,,Animalia
Cyanerpes cyaneus,,,species,,Animalia
Pachyramphus viridis,,,species,,Animalia
Celeus flavescens,,,species,,Animalia
Brotogeris chiriri,,,species,,Animalia
Momotus momota,,,species,,Animalia
Sirystes sibilator,,,species,,Animalia
Patagioenas speciosa,,,species,,Animalia
Saltator maximus,,,species,,Animalia
Camptostoma obsoletum,,,species,,Animalia
Cnemotriccus fuscatus,,,species,,Animalia
Megarynchus pitangua,,,species,,Animalia
Tachyphonus cristatus,,,species,,Animalia
Cyclarhis gujanensis,,,species,,Animalia
Vireo olivaceus,,,species,,Animalia
Tityra semifasciata,,,species,,Animalia
Cyanocorax cyanopogon,,,species,,Animalia
Nemosia pileata,,,species,,Animalia
Pipra fasciicauda,,,species,,Animalia
Turdus subalaris,,,species,,Animalia
Empidonomus varius,,,species,,Animalia
Tityra inquisitor,,,species,,Animalia
Leontocebus fuscicollis,,,species,,Animalia
Mazama americana,,,species,,Animalia
Cheracebus lucifer,,,species,,Animalia
Lagothrix lagothricha,,,species,,Animalia
Sapajus apella,,,species,,Animalia
Cebus albifrons,,,species,,Animalia
Saimiri sciureus,,,species,,Animalia
Potos flavus,,,species,,Animalia
Eira barbara,,,species,,Animalia
Plecturocebus discolor,,,species,,Animalia
Myoprocta pratti,,,species,,Metazoa
Pithecia aequatorialis,,,species,,Animalia
Dasyprocta fuliginosa,,,species,,Animalia
Pyroderus scutatus,,,species,,Animalia
Mionectes rufiventris,,,species,,Animalia
Thraupis ornata,,,species,,Animalia
Patagioenas picazuro,,,species,,Animalia
Phylloscartes oustaleti,,,species,,Animalia
Patagioenas plumbea,,,species,,Animalia
Selenidera maculirostris,,,species,,Animalia
Legatus leucophaius,,,species,,Animalia
Pachyramphus polychopterus,,,species,,Animalia
Penelope obscura,,,species,,Animalia
Lipaugus lanioides,,,species,,Animalia
Tersina viridis,,,species,,Animalia
Procnias nudicollis,,,species,,Animalia
Oxyruncus cristatus,,,species,,Animalia
Tangara cyanoptera,,,species,,Animalia
