id;taxonID;scientificName;kingdom;phylum;class;order;family;genus;taxonRank;vernacularName;nomenclaturalCode;language;license;rightsHolder;accessRights;datasetID;datasetName
INBO_RL_CAR_2008_VAL_120;INBO_RL_CAR_2008_VAL_120;Bembidion lunulatum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Kleine maanvlekpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_121;INBO_RL_CAR_2008_VAL_121;Bembidion mannerheimi;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Moerasbospriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_122;INBO_RL_CAR_2008_VAL_122;Bembidion maritimum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Brakwaterpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_123;INBO_RL_CAR_2008_VAL_123;Bembidion milleri;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Kleine leempriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_124;INBO_RL_CAR_2008_VAL_124;Bembidion millerianum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Bergsmalnekpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_125;INBO_RL_CAR_2008_VAL_125;Bembidion minimum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Kwelderpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_126;INBO_RL_CAR_2008_VAL_126;Bembidion monticola;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Bergpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_127;INBO_RL_CAR_2008_VAL_127;Bembidion nigricorne;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Heidepriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_128;INBO_RL_CAR_2008_VAL_128;Bembidion nigropiceum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Klifpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_CAR_2008_VAL_129;INBO_RL_CAR_2008_VAL_129;Bembidion normannum;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Bembidion;species;Slanke kwelderpriemkever;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
