id	description	type	source	language
INBO_RL_BIR_2004_VAL_118	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_118	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_119	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	running waters	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_12	eutrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	semi aquatic	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	marshes	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_120	mesotrophic	nutrient level	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	terrestrial	biome	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	woodlands	biotope	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	shortlived	lifespan	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	cuddly	cuddliness	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	mobile	mobility	Birdlife International (2004) | Vermeersch et al. (2004)	en
INBO_RL_BIR_2004_VAL_121	vertebrate	spine	Birdlife International (2004) | Vermeersch et al. (2004)	en
