speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1134093,"Exocentrus lusitanus (Linnaeus, 1767)",SPECIES,ACCEPTED,Animalia,"1134093: Exocentrus lusitanus (Linnaeus, 1767)"
1134213,"Exocentrus adspersus Mulsant, 1846",SPECIES,ACCEPTED,Animalia,"1134213: Exocentrus adspersus Mulsant, 1846"
1136138,"Pachyta quadrimaculata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1136138: Pachyta quadrimaculata (Linnaeus, 1758)"
1136888,"Pachytodes cerambyciformis (Schrank, 1781)",SPECIES,ACCEPTED,Animalia,"1136888: Pachytodes cerambyciformis (Schrank, 1781) | 1136891: Judolia cerambyciformis Denton, 2002"
1138576,"Neodorcadion bilineatum (Germar, 1824)",SPECIES,ACCEPTED,Animalia,"1138576: Neodorcadion bilineatum (Germar, 1824)"
1142906,"Lepturobosca virens (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1142906: Lepturobosca virens (Linnaeus, 1758)"
1143384,"Pyrrhidium sanguineum (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1143384: Pyrrhidium sanguineum (Linnaeus, 1758)"
1146023,"Aegosoma scabricorne (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1146023: Aegosoma scabricorne (Scopoli, 1763)"
1148812,"Necydalis major Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1148812: Necydalis major Linnaeus, 1758"
1151427,"Trichoferus campestris (Faldermann, 1835)",SPECIES,ACCEPTED,Animalia,"1151427: Trichoferus campestris (Faldermann, 1835)"
1164351,"Byctiscus betulae (C.Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1164351: Byctiscus betulae (C.Linnaeus, 1758)"
1169765,"Sphenophorus abbreviatus (J.C.Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1169765: Sphenophorus abbreviatus (J.C.Fabricius, 1787)"
1171988,"Apoderus coryli (C.Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1171988: Apoderus coryli (C.Linnaeus, 1758)"
1174860,"Elytrodon bidentatus Boheman, 1834",SPECIES,ACCEPTED,Animalia,"1174860: Elytrodon bidentatus Boheman, 1834"
1176471,"Polydrusus picus (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1176471: Polydrusus picus (Fabricius, 1792)"
1181241,"Sitona hispidulus (Fabricius, 1777)",SPECIES,ACCEPTED,Animalia,"1181241: Sitona hispidulus (Fabricius, 1777)"
1181326,"Sitona lepidus Gyllenhal, 1834",SPECIES,ACCEPTED,Animalia,"1181326: Sitona lepidus Gyllenhal, 1834"
1181432,"Sitona puncticollis Stephens, 1831",SPECIES,ACCEPTED,Animalia,"1181432: Sitona puncticollis Stephens, 1831"
1183688,"Larinus obtusus Gyllenhal, 1835",SPECIES,ACCEPTED,Animalia,"1183688: Larinus obtusus Gyllenhal, 1835"
1183708,"Larinus carlinae (A.G.Olivier, 1807)",SPECIES,ACCEPTED,Animalia,"1183708: Larinus carlinae (A.G.Olivier, 1807)"
1183747,"Larinus turbinatus Gyllenhal, 1835",SPECIES,ACCEPTED,Animalia,"1183747: Larinus turbinatus Gyllenhal, 1835"
1184505,"Liophloeus tessulatus (O.F.Müller, 1776)",SPECIES,ACCEPTED,Animalia,"1184505: Liophloeus tessulatus (O.F.Müller, 1776)"
1184512,"Liophloeus liptoviensis Weise, 1894",SPECIES,ACCEPTED,Animalia,"1184512: Liophloeus liptoviensis Weise, 1894"
1184542,"Liophloeus herbstii Gyllenhal, 1834",SPECIES,ACCEPTED,Animalia,"1184542: Liophloeus herbstii Gyllenhal, 1834"
1194505,"Cryptorhynchus lapathi (C.Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1194505: Cryptorhynchus lapathi (C.Linnaeus, 1758)"
1194806,"Otiorhynchus brunneus Gyllenhal, 1834",SPECIES,ACCEPTED,Animalia,"11018204: Otiorhynchus brunneus Krynicki, 1834"
1194835,"Otiorhynchus pinastri (Herbst, 1795)",SPECIES,ACCEPTED,Animalia,"1194835: Otiorhynchus pinastri (Herbst, 1795)"
1194901,"Otiorhynchus raucus (Fabricius, 1777)",SPECIES,ACCEPTED,Animalia,"1194901: Otiorhynchus raucus (Fabricius, 1777)"
1194920,"Otiorhynchus cymophanus Germar, 1839",SPECIES,ACCEPTED,Animalia,"1194920: Otiorhynchus cymophanus Germar, 1839"
1194959,"Otiorhynchus obtusus Boheman, 1842",SPECIES,ACCEPTED,Animalia,"1194959: Otiorhynchus obtusus Boheman, 1842"
1195077,"Otiorhynchus populeti Boheman, 1843",SPECIES,ACCEPTED,Animalia,"1195077: Otiorhynchus populeti Boheman, 1843"
1195129,"Otiorhynchus sulcatus (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1195129: Otiorhynchus sulcatus (Fabricius, 1775)"
1195132,"Otiorhynchus multipunctatus (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1195132: Otiorhynchus multipunctatus (Fabricius, 1792)"
1203137,"Nedyus quadrimaculatus (C.Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1203137: Nedyus quadrimaculatus (C.Linnaeus, 1758)"
1213221,"Cionus clairvillei Boheman, 1838",SPECIES,ACCEPTED,Animalia,"1213221: Cionus clairvillei Boheman, 1838"
1214768,"Brachysomus hispidus (Redtenbacher, 1847)",SPECIES,ACCEPTED,Animalia,"1214768: Brachysomus hispidus (Redtenbacher, 1847)"
1214794,"Brachysomus frivaldszkyi Reitter, 1884",SPECIES,ACCEPTED,Animalia,"1214794: Brachysomus frivaldszkyi Reitter, 1884"
1216470,"Tropiphorus elevatus (Herbst, 1795)",SPECIES,ACCEPTED,Animalia,"1216470: Tropiphorus elevatus (Herbst, 1795)"
1222810,"Phytonomus libanotidis Reitt., 1896",SPECIES,ACCEPTED,Animalia,"4464829: Hypera libanotidis (Reitter, 1896)"
1224285,"Lixus iridis A.G.Olivier, 1807",SPECIES,ACCEPTED,Animalia,"1224285: Lixus iridis A.G.Olivier, 1807"
1237290,"Sciaphobus squalidus (Gyllenhal, 1834)",SPECIES,ACCEPTED,Animalia,"1237290: Sciaphobus squalidus (Gyllenhal, 1834)"
1237428,"Pityogenes chalcographus (C.Linnaeus, 1760)",SPECIES,ACCEPTED,Animalia,"1237428: Pityogenes chalcographus (C.Linnaeus, 1760)"
1244353,"Bagous longitarsis Thomson C.G., 1868",SPECIES,ACCEPTED,Animalia,"1244353: Bagous longitarsis Thomson C.G., 1868"
